frame,cell_count,fg_pixels,fg_coverage_pct
0,29,165032,15.738677978515625
1,30,165820,15.813827514648438
2,25,147417,14.058780670166016
3,30,150218,14.325904846191406
4,30,163950,15.635490417480469
5,29,152171,14.512157440185547
6,29,157260,14.997482299804688
7,30,165407,15.77444076538086
8,32,147095,14.028072357177734
9,30,138933,13.249683380126953
10,30,133185,12.70151138305664
11,29,128317,12.237262725830078
12,28,125742,11.991691589355469
13,30,121072,11.54632568359375
14,31,124442,11.867713928222656
15,31,128639,12.26797103881836
16,32,136610,13.028144836425781
17,31,135720,12.943267822265625
18,32,143150,13.651847839355469
19,33,147476,14.064407348632812
20,31,149234,14.232063293457031
21,31,158244,15.091323852539062
22,32,162123,15.461254119873047
23,31,157516,15.021896362304688
24,31,163021,15.546894073486328
25,30,134429,12.820148468017578
26,29,127201,12.13083267211914
27,28,119159,11.363887786865234
28,29,101377,9.66806411743164
29,28,110328,10.521697998046875
